GENE,CDSLEN,CHROM,START,STOP,STRAND,HOMOLOG,PERCENTID,ALNLEN
Afu1g00100,621,Chr1_A_fumigatus_Af293,216,871,+,AFUB_079890,100.00,621
Afu1g00110,429,Chr1_A_fumigatus_Af293,3752,4495,+,AFUB_079870,96.87,319
Afu1g00120,516,Chr1_A_fumigatus_Af293,6805,7472,-,NONE,0,0
Afu1g00130,750,Chr1_A_fumigatus_Af293,10218,11106,+,NONE,0,0
Afu1g00140,1197,Chr1_A_fumigatus_Af293,13021,15308,+,NONE,0,0
Afu1g00150,1488,Chr1_A_fumigatus_Af293,25442,27017,+,AFUB_071490,95.09,1488
Afu1g00160,384,Chr1_A_fumigatus_Af293,29598,29981,+,AFUB_097610,97.14,384
Afu1g00170,369,Chr1_A_fumigatus_Af293,30280,30782,+,AFUB_097600,96.48,369
Afu1g00180,732,Chr1_A_fumigatus_Af293,31560,32325,+,NONE,0,0
Afu1g00200,1197,Chr1_A_fumigatus_Af293,36279,37475,-,AFUB_097480,98.49,1125
Afu1g00210,1254,Chr1_A_fumigatus_Af293,42471,44125,+,NONE,0,0
Afu1g00220,2151,Chr1_A_fumigatus_Af293,47313,49481,+,AFUB_063730,88.12,160
Afu1g00230,2280,Chr1_A_fumigatus_Af293,55776,58055,-,AFUB_092680,63.47,2130
Afu1g00240,297,Chr1_A_fumigatus_Af293,59371,59752,-,AFUB_097550,93.65,252
Afu1g00250,2280,Chr1_A_fumigatus_Af293,60909,63246,-,NONE,0,0
Afu1g00270,516,Chr1_A_fumigatus_Af293,73193,73708,+,NONE,0,0
Afu1g00280,1845,Chr1_A_fumigatus_Af293,74434,76331,+,NONE,0,0
Afu1g00290,831,Chr1_A_fumigatus_Af293,79252,80692,+,NONE,0,0
Afu1g00300,990,Chr1_A_fumigatus_Af293,81720,83658,+,AFUB_048500,88.56,367
Afu1g00310,1293,Chr1_A_fumigatus_Af293,84231,85698,-,AFUB_041890,71.96,831
Afu1g00320,639,Chr1_A_fumigatus_Af293,87064,87900,+,NONE,0,0
Afu1g00330,195,Chr1_A_fumigatus_Af293,88949,89191,+,NONE,0,0
Afu1g00340,393,Chr1_A_fumigatus_Af293,90835,91227,-,NONE,0,0
Afu1g00350,1464,Chr1_A_fumigatus_Af293,94948,96601,-,AFUB_071030,93.59,998
Afu1g00390,2166,Chr1_A_fumigatus_Af293,117405,120219,-,NONE,0,0
Afu1g00400,501,Chr1_A_fumigatus_Af293,128569,129183,+,NONE,0,0
Afu1g00410,2550,Chr1_A_fumigatus_Af293,131310,134100,+,AFUB_083430,98.61,1151
Afu1g00420,1614,Chr1_A_fumigatus_Af293,135528,137781,+,AFUB_083440,97.10,1311
Afu1g00440,1533,Chr1_A_fumigatus_Af293,138359,140093,-,AFUB_083450,98.17,1533
Afu1g00450,1293,Chr1_A_fumigatus_Af293,143117,144466,+,AFUB_083460,99.23,1293
Afu1g00460,1524,Chr1_A_fumigatus_Af293,145247,146969,-,AFUB_083470,98.83,1192
Afu1g00470,1500,Chr1_A_fumigatus_Af293,148615,150219,+,AFUB_083480,98.73,1500
Afu1g00480,1092,Chr1_A_fumigatus_Af293,150773,151994,-,AFUB_083490,99.26,1084
Afu1g00490,1431,Chr1_A_fumigatus_Af293,153030,154648,+,AFUB_069000,69.03,1427
Afu1g00500,1215,Chr1_A_fumigatus_Af293,155384,157199,-,AFUB_097930,99.92,1215
Afu1g00510,1740,Chr1_A_fumigatus_Af293,158014,160063,+,AFUB_097940,100.00,1740
Afu1g00520,2409,Chr1_A_fumigatus_Af293,160405,163021,+,AFUB_097950,99.88,2409
Afu1g00530,606,Chr1_A_fumigatus_Af293,163103,165557,-,AFUB_097960,100.00,606
Afu1g00540,2430,Chr1_A_fumigatus_Af293,168081,171287,+,AFUB_083500,98.37,1414
Afu1g00550,1419,Chr1_A_fumigatus_Af293,177040,179175,+,AFUB_097980,99.51,1419
Afu1g00560,1293,Chr1_A_fumigatus_Af293,180463,182160,+,AFUB_097990,100.00,1293
Afu1g00570,978,Chr1_A_fumigatus_Af293,182513,184079,-,NONE,0,0
Afu1g00580,1590,Chr1_A_fumigatus_Af293,184790,186475,+,AFUB_083510,98.50,867
Afu1g00590,3789,Chr1_A_fumigatus_Af293,187844,192296,-,AFUB_083520,98.20,1164
