QUERY,HIT,PID,ALNLEN,CHROM,START,STOP,STRAND
Afu1g00100,AFUB_079890,100.00,621,Chr1_A_fumigatus_Af293,216,871,+
Afu1g00110,AFUB_079870,96.87,319,Chr1_A_fumigatus_Af293,3752,4495,+
Afu1g00150,AFUB_071490,95.09,1488,Chr1_A_fumigatus_Af293,25442,27017,+
Afu1g00160,AFUB_097610,97.14,384,Chr1_A_fumigatus_Af293,29598,29981,+
Afu1g00170,AFUB_097600,96.48,369,Chr1_A_fumigatus_Af293,30280,30782,+
Afu1g00200,AFUB_097480,98.49,1125,Chr1_A_fumigatus_Af293,36279,37475,-
Afu1g00220,AFUB_063730,88.12,160,Chr1_A_fumigatus_Af293,47313,49481,+
Afu1g00230,AFUB_092680,63.47,2130,Chr1_A_fumigatus_Af293,55776,58055,-
Afu1g00240,AFUB_097550,93.65,252,Chr1_A_fumigatus_Af293,59371,59752,-
Afu1g00300,AFUB_048500,88.56,367,Chr1_A_fumigatus_Af293,81720,83658,+
Afu1g00310,AFUB_041890,71.96,831,Chr1_A_fumigatus_Af293,84231,85698,-
Afu1g00350,AFUB_071030,93.59,998,Chr1_A_fumigatus_Af293,94948,96601,-
Afu1g00410,AFUB_083430,98.61,1151,Chr1_A_fumigatus_Af293,131310,134100,+
Afu1g00420,AFUB_083440,97.10,1311,Chr1_A_fumigatus_Af293,135528,137781,+
Afu1g00440,AFUB_083450,98.17,1533,Chr1_A_fumigatus_Af293,138359,140093,-
Afu1g00450,AFUB_083460,99.23,1293,Chr1_A_fumigatus_Af293,143117,144466,+
Afu1g00460,AFUB_083470,98.83,1192,Chr1_A_fumigatus_Af293,145247,146969,-
Afu1g00470,AFUB_083480,98.73,1500,Chr1_A_fumigatus_Af293,148615,150219,+
Afu1g00480,AFUB_083490,99.26,1084,Chr1_A_fumigatus_Af293,150773,151994,-
Afu1g00490,AFUB_069000,69.03,1427,Chr1_A_fumigatus_Af293,153030,154648,+
Afu1g00500,AFUB_097930,99.92,1215,Chr1_A_fumigatus_Af293,155384,157199,-
Afu1g00510,AFUB_097940,100.00,1740,Chr1_A_fumigatus_Af293,158014,160063,+
Afu1g00520,AFUB_097950,99.88,2409,Chr1_A_fumigatus_Af293,160405,163021,+
Afu1g00530,AFUB_097960,100.00,606,Chr1_A_fumigatus_Af293,163103,165557,-
Afu1g00540,AFUB_083500,98.37,1414,Chr1_A_fumigatus_Af293,168081,171287,+
Afu1g00550,AFUB_097980,99.51,1419,Chr1_A_fumigatus_Af293,177040,179175,+
Afu1g00560,AFUB_097990,100.00,1293,Chr1_A_fumigatus_Af293,180463,182160,+
Afu1g00580,AFUB_083510,98.50,867,Chr1_A_fumigatus_Af293,184790,186475,+
Afu1g00590,AFUB_083520,98.20,1164,Chr1_A_fumigatus_Af293,187844,192296,-
Afu1g00610,AFUB_083550,99.42,689,Chr1_A_fumigatus_Af293,195962,198161,+
Afu1g00620,AFUB_083550,100.00,89,Chr1_A_fumigatus_Af293,197348,198658,-
Afu1g00630,AFUB_001480,64.56,539,Chr1_A_fumigatus_Af293,199230,202418,+
Afu1g00650,AFUB_098010,76.76,1308,Chr1_A_fumigatus_Af293,215584,217006,+
Afu1g00730,AFUB_015010,75.08,959,Chr1_A_fumigatus_Af293,249319,251350,+
Afu1g00750,AFUB_075300,93.63,1617,Chr1_A_fumigatus_Af293,268868,270616,-
Afu1g00760,AFUB_075310,97.76,357,Chr1_A_fumigatus_Af293,271231,271587,-
Afu1g00770,AFUB_096610,89.85,335,Chr1_A_fumigatus_Af293,274858,275465,+
Afu1g00810,AFUB_063750,77.60,558,Chr1_A_fumigatus_Af293,306044,306847,-
Afu1g00850,AFUB_097990,62.89,291,Chr1_A_fumigatus_Af293,315349,315947,+
Afu1g00910,AFUB_097980,75.67,1389,Chr1_A_fumigatus_Af293,328785,330274,+
Afu1g00920,AFUB_048620,91.17,759,Chr1_A_fumigatus_Af293,331676,332955,-
Afu1g00970,AFUB_046220,57.04,1066,Chr1_A_fumigatus_Af293,342453,344153,-
Afu1g01010,AFUB_045640,57.70,825,Chr1_A_fumigatus_Af293,352044,358955,+
Afu1g01020,AFUB_081770,58.77,895,Chr1_A_fumigatus_Af293,370902,375565,-
Afu1g01040,AFUB_079240,62.93,259,Chr1_A_fumigatus_Af293,382400,383350,-
Afu1g01050,AFUB_001920,87.43,358,Chr1_A_fumigatus_Af293,385302,386244,-
Afu1g01100,AFUB_079700,100.00,677,Chr1_A_fumigatus_Af293,394863,395585,-
Afu1g01110,AFUB_079690,100.00,633,Chr1_A_fumigatus_Af293,400777,401591,+
Afu1g01120,AFUB_079680,99.43,705,Chr1_A_fumigatus_Af293,402536,403635,-
Afu1g01130,AFUB_079670,99.69,654,Chr1_A_fumigatus_Af293,404756,405535,+
Afu1g01140,AFUB_079660,99.87,759,Chr1_A_fumigatus_Af293,405928,406686,-
Afu1g01160,AFUB_079650,86.46,1499,Chr1_A_fumigatus_Af293,406882,408853,-
Afu1g01170,AFUB_079640,99.89,885,Chr1_A_fumigatus_Af293,410235,411132,+
Afu1g01175,AFUB_079630,100.00,382,Chr1_A_fumigatus_Af293,411327,412123,-
Afu1g01180,AFUB_079620,99.94,1692,Chr1_A_fumigatus_Af293,412395,415891,-
Afu1g01190,AFUB_079610,99.73,1125,Chr1_A_fumigatus_Af293,415899,418697,+
Afu1g01200,AFUB_079600,99.84,1221,Chr1_A_fumigatus_Af293,419161,420433,+
Afu1g01210,AFUB_079590,100.00,456,Chr1_A_fumigatus_Af293,420901,421404,-
Afu1g01220,AFUB_079580,99.92,1200,Chr1_A_fumigatus_Af293,421825,423074,+
Afu1g01230,AFUB_079570,100.00,1596,Chr1_A_fumigatus_Af293,423561,425420,+
Afu1g01240,AFUB_079560,99.96,2439,Chr1_A_fumigatus_Af293,426187,428733,+
Afu1g01250,AFUB_079550,99.94,1692,Chr1_A_fumigatus_Af293,428894,430700,-
Afu1g01260,AFUB_079540,99.81,1581,Chr1_A_fumigatus_Af293,431056,433093,+
Afu1g01265,AFUB_079530,100.00,489,Chr1_A_fumigatus_Af293,434914,436188,+
Afu1g01270,AFUB_079520,96.67,1561,Chr1_A_fumigatus_Af293,436429,438168,+
Afu1g01280,AFUB_079500,99.12,1023,Chr1_A_fumigatus_Af293,439336,440421,+
Afu1g01290,AFUB_079500,98.48,132,Chr1_A_fumigatus_Af293,438179,439472,-
Afu1g01300,AFUB_079490,99.92,1197,Chr1_A_fumigatus_Af293,441786,443040,+
Afu1g01310,AFUB_079480,99.87,1482,Chr1_A_fumigatus_Af293,443051,444743,-
Afu1g01320,AFUB_079470,99.80,1467,Chr1_A_fumigatus_Af293,444989,446455,-
Afu1g01330,AFUB_079460,99.75,786,Chr1_A_fumigatus_Af293,446742,448029,-
Afu1g01340,AFUB_079450,99.87,1500,Chr1_A_fumigatus_Af293,448198,449748,+
Afu1g01350,AFUB_079440,100.00,621,Chr1_A_fumigatus_Af293,450255,450941,+
Afu1g01360,AFUB_079430,99.72,726,Chr1_A_fumigatus_Af293,451136,451861,-
Afu1g01370,AFUB_079420,99.25,669,Chr1_A_fumigatus_Af293,452052,452773,-
Afu1g01380,AFUB_079410,99.89,915,Chr1_A_fumigatus_Af293,453032,453946,-
Afu1g01390,AFUB_079400,100.00,1185,Chr1_A_fumigatus_Af293,454910,456094,-
Afu1g01400,AFUB_079390,100.00,201,Chr1_A_fumigatus_Af293,456376,456576,+
Afu1g01410,AFUB_079380,99.41,340,Chr1_A_fumigatus_Af293,457495,459374,+
