QNAME,LENGTH,CHROM,START,STOP,STRAND
Afu1g00120,516,Chr1_A_fumigatus_Af293,6805,7472,-
Afu1g00130,750,Chr1_A_fumigatus_Af293,10218,11106,+
Afu1g00140,1197,Chr1_A_fumigatus_Af293,13021,15308,+
Afu1g00180,732,Chr1_A_fumigatus_Af293,31560,32325,+
Afu1g00210,1254,Chr1_A_fumigatus_Af293,42471,44125,+
Afu1g00250,2280,Chr1_A_fumigatus_Af293,60909,63246,-
Afu1g00270,516,Chr1_A_fumigatus_Af293,73193,73708,+
Afu1g00280,1845,Chr1_A_fumigatus_Af293,74434,76331,+
Afu1g00290,831,Chr1_A_fumigatus_Af293,79252,80692,+
Afu1g00320,639,Chr1_A_fumigatus_Af293,87064,87900,+
Afu1g00330,195,Chr1_A_fumigatus_Af293,88949,89191,+
Afu1g00340,393,Chr1_A_fumigatus_Af293,90835,91227,-
Afu1g00390,2166,Chr1_A_fumigatus_Af293,117405,120219,-
Afu1g00400,501,Chr1_A_fumigatus_Af293,128569,129183,+
Afu1g00570,978,Chr1_A_fumigatus_Af293,182513,184079,-
Afu1g00640,1110,Chr1_A_fumigatus_Af293,210663,211854,-
Afu1g00660,1200,Chr1_A_fumigatus_Af293,218161,219429,+
Afu1g00670,216,Chr1_A_fumigatus_Af293,221860,222075,-
Afu1g00680,873,Chr1_A_fumigatus_Af293,226527,229118,+
Afu1g00690,330,Chr1_A_fumigatus_Af293,237383,237712,-
Afu1g00700,4089,Chr1_A_fumigatus_Af293,238508,243054,+
Afu1g00710,543,Chr1_A_fumigatus_Af293,243738,244896,-
Afu1g00720,579,Chr1_A_fumigatus_Af293,246875,247620,-
Afu1g00740,1020,Chr1_A_fumigatus_Af293,258432,259498,-
Afu1g00780,648,Chr1_A_fumigatus_Af293,277013,277941,+
Afu1g00790,4251,Chr1_A_fumigatus_Af293,287037,291287,-
Afu1g00800,1182,Chr1_A_fumigatus_Af293,296636,297872,+
Afu1g00820,582,Chr1_A_fumigatus_Af293,307828,308409,-
Afu1g00830,348,Chr1_A_fumigatus_Af293,309461,309808,+
Afu1g00840,1899,Chr1_A_fumigatus_Af293,310237,313087,+
Afu1g00880,3378,Chr1_A_fumigatus_Af293,318305,321716,-
Afu1g00890,2697,Chr1_A_fumigatus_Af293,325118,328217,-
Afu1g00930,1035,Chr1_A_fumigatus_Af293,333683,334717,+
Afu1g00940,1065,Chr1_A_fumigatus_Af293,335152,336216,-
Afu1g00950,978,Chr1_A_fumigatus_Af293,336865,337907,+
Afu1g00960,3864,Chr1_A_fumigatus_Af293,338106,342000,+
Afu1g00980,1491,Chr1_A_fumigatus_Af293,344953,346714,-
Afu1g00990,786,Chr1_A_fumigatus_Af293,347632,348512,-
Afu1g01000,1158,Chr1_A_fumigatus_Af293,349732,351003,-
Afu1g01030,4317,Chr1_A_fumigatus_Af293,377390,382156,+
Afu1g01070,420,Chr1_A_fumigatus_Af293,390761,391294,-
Afu1g01080,462,Chr1_A_fumigatus_Af293,391423,391941,-
Afu1g01090,924,Chr1_A_fumigatus_Af293,392457,393602,-
Afu1g04650,1380,Chr1_A_fumigatus_Af293,1315284,1316663,-
Afu1g05030,1650,Chr1_A_fumigatus_Af293,1442378,1444208,-
Afu1g05480,1221,Chr1_A_fumigatus_Af293,1565206,1566426,-
Afu1g06010,1089,Chr1_A_fumigatus_Af293,1732324,1733412,-
Afu1g08780,1518,Chr1_A_fumigatus_Af293,2258123,2259640,-
Afu1g10575,468,Chr1_A_fumigatus_Af293,2751956,2753824,-
Afu1g10995,1179,Chr1_A_fumigatus_Af293,2875274,2876690,+
Afu1g13770,1326,Chr1_A_fumigatus_Af293,3677626,3678995,+
Afu1g14760,1815,Chr1_A_fumigatus_Af293,3952853,3954901,-
Afu1g14895,465,Chr1_A_fumigatus_Af293,3994723,3996514,+
Afu1g15966,945,Chr1_A_fumigatus_Af293,4334231,4336323,-
Afu1g16000,984,Chr1_A_fumigatus_Af293,4347065,4348159,+
Afu1g16130,3357,Chr1_A_fumigatus_Af293,4388607,4392015,-
Afu1g16140,213,Chr1_A_fumigatus_Af293,4393460,4393672,-
Afu1g16150,462,Chr1_A_fumigatus_Af293,4394489,4395164,+
Afu1g17500,165,Chr1_A_fumigatus_Af293,4788539,4788798,-
Afu1g17710,1290,Chr1_A_fumigatus_Af293,4894248,4895625,+
Afu1g17720,744,Chr1_A_fumigatus_Af293,4896067,4896810,+
Afu1g17723,1056,Chr1_A_fumigatus_Af293,4896907,4898192,-
Afu1g17750,1056,Chr1_A_fumigatus_Af293,4911268,4912425,+
Afu2g01420,1671,Chr2_A_fumigatus_Af293,339809,341479,+
Afu2g01930,1524,Chr2_A_fumigatus_Af293,481949,483733,-
Afu2g03570,1359,Chr2_A_fumigatus_Af293,949873,951610,-
Afu2g03955,624,Chr2_A_fumigatus_Af293,1073698,1075124,-
Afu2g04990,1632,Chr2_A_fumigatus_Af293,1371088,1372783,-
Afu2g08220,1206,Chr2_A_fumigatus_Af293,2121510,2122715,+
Afu2g08930,1632,Chr2_A_fumigatus_Af293,2293698,2295595,+
Afu2g11200,852,Chr2_A_fumigatus_Af293,2877676,2879197,-
Afu2g13920,450,Chr2_A_fumigatus_Af293,3630755,3631621,+
Afu2g13985,1107,Chr2_A_fumigatus_Af293,3654063,3656101,-
Afu2g14525,300,Chr2_A_fumigatus_Af293,3803688,3805222,-
Afu2g14655,1362,Chr2_A_fumigatus_Af293,3841213,3843349,-
Afu2g17750,1089,Chr2_A_fumigatus_Af293,4725189,4726429,-
Afu2g18080,5256,Chr2_A_fumigatus_Af293,4813433,4818744,-
Afu3g00190,537,Chr3_A_fumigatus_Af293,29315,30376,+
Afu3g01060,300,Chr3_A_fumigatus_Af293,244684,245476,+
Afu3g01345,474,Chr3_A_fumigatus_Af293,327912,328995,-
Afu3g01390,489,Chr3_A_fumigatus_Af293,344085,344659,-
Afu3g01740,807,Chr3_A_fumigatus_Af293,435494,436898,-
Afu3g02560,426,Chr3_A_fumigatus_Af293,645824,646419,+
Afu3g02585,759,Chr3_A_fumigatus_Af293,655118,655876,-
Afu3g02590,2271,Chr3_A_fumigatus_Af293,656191,658708,-
Afu3g02600,843,Chr3_A_fumigatus_Af293,661031,661873,-
Afu3g02610,1299,Chr3_A_fumigatus_Af293,662970,664268,+
