QUERY,HIT,PID,ALNLEN,CHROM,START,STOP,STRAND
AFUB_000010,Afu4g00540,61.83,2004,scf_000001_A_fumigatus_A1163,7437,9931,-
AFUB_000050,Afu6g11800,58.27,774,scf_000001_A_fumigatus_A1163,16046,17088,-
AFUB_000060,Afu6g09550,57.09,776,scf_000001_A_fumigatus_A1163,17859,18861,+
AFUB_000080,Afu5g03780,57.62,328,scf_000001_A_fumigatus_A1163,20545,21003,-
AFUB_000090,Afu3g00740,73.53,763,scf_000001_A_fumigatus_A1163,22791,24287,+
AFUB_000100,Afu1g04150,67.71,1050,scf_000001_A_fumigatus_A1163,24630,25907,+
AFUB_000110,Afu6g08790,56.84,1652,scf_000001_A_fumigatus_A1163,26950,29765,+
AFUB_000120,Afu4g08170,66.05,1449,scf_000001_A_fumigatus_A1163,30233,31981,-
AFUB_000130,Afu4g07010,52.76,887,scf_000001_A_fumigatus_A1163,32190,33233,-
AFUB_000140,Afu6g14460,69.76,711,scf_000001_A_fumigatus_A1163,33460,34173,-
AFUB_000150,Afu5g06680,65.03,1347,scf_000001_A_fumigatus_A1163,34544,36121,+
AFUB_000160,Afu6g14610,99.93,2694,scf_000001_A_fumigatus_A1163,42448,45187,-
AFUB_000170,Afu6g14600,99.67,1512,scf_000001_A_fumigatus_A1163,45394,46905,+
AFUB_000180,Afu6g14590,99.94,1629,scf_000001_A_fumigatus_A1163,47670,49445,+
AFUB_000190,Afu6g14580,99.84,621,scf_000001_A_fumigatus_A1163,50200,50939,-
AFUB_000200,Afu6g14570,99.89,1866,scf_000001_A_fumigatus_A1163,51515,53380,+
AFUB_000210,Afu6g14560,99.75,1602,scf_000001_A_fumigatus_A1163,54576,56285,-
AFUB_000220,Afu6g14550,99.87,1542,scf_000001_A_fumigatus_A1163,56942,58536,-
AFUB_000230,Afu6g14540,100.00,858,scf_000001_A_fumigatus_A1163,65075,66042,+
AFUB_000240,Afu6g14530,100.00,843,scf_000001_A_fumigatus_A1163,68181,69384,+
AFUB_000250,Afu6g14520,99.73,738,scf_000001_A_fumigatus_A1163,69721,71182,-
AFUB_000260,Afu6g14510,99.42,1386,scf_000001_A_fumigatus_A1163,76690,78497,+
AFUB_000270,Afu6g14500,98.29,995,scf_000001_A_fumigatus_A1163,79615,81514,-
AFUB_000280,Afu6g14490,99.92,2490,scf_000001_A_fumigatus_A1163,82059,84883,-
AFUB_000290,Afu6g14480,99.74,1911,scf_000001_A_fumigatus_A1163,86203,89082,+
AFUB_000300,Afu6g14470,100.00,705,scf_000001_A_fumigatus_A1163,89693,90577,+
AFUB_000310,Afu6g14460,100.00,714,scf_000001_A_fumigatus_A1163,91337,92050,+
AFUB_000320,Afu6g14450,97.36,758,scf_000001_A_fumigatus_A1163,92365,93917,+
AFUB_000330,Afu6g14442,99.94,1764,scf_000001_A_fumigatus_A1163,94806,96978,-
AFUB_000340,Afu6g14420,99.67,1824,scf_000001_A_fumigatus_A1163,100970,102900,+
AFUB_000350,Afu6g14410,99.66,1749,scf_000001_A_fumigatus_A1163,103117,104981,-
AFUB_000360,Afu6g14400,99.60,1263,scf_000001_A_fumigatus_A1163,107218,108628,+
AFUB_000370,Afu6g14390,98.81,927,scf_000001_A_fumigatus_A1163,108876,110091,+
AFUB_000380,Afu6g14370,99.07,642,scf_000001_A_fumigatus_A1163,111021,111796,+
AFUB_000390,Afu6g14360,100.00,1386,scf_000001_A_fumigatus_A1163,111906,113390,-
AFUB_000400,Afu6g14350,100.00,1935,scf_000001_A_fumigatus_A1163,114360,117083,+
AFUB_000410,Afu6g14340,99.93,1431,scf_000001_A_fumigatus_A1163,117355,119201,+
AFUB_000420,Afu6g14330,99.97,3846,scf_000001_A_fumigatus_A1163,119755,123647,+
AFUB_000430,Afu6g14320,99.90,1920,scf_000001_A_fumigatus_A1163,124598,127210,+
AFUB_000440,Afu6g14310,100.00,2010,scf_000001_A_fumigatus_A1163,127400,129660,+
AFUB_000450,Afu6g14300,99.93,1527,scf_000001_A_fumigatus_A1163,129896,131422,-
AFUB_000460,Afu6g14290,100.00,1896,scf_000001_A_fumigatus_A1163,131773,134128,-
AFUB_000470,Afu6g14280,100.00,1554,scf_000001_A_fumigatus_A1163,135543,137537,+
AFUB_000480,Afu6g14270,100.00,378,scf_000001_A_fumigatus_A1163,137675,138463,-
AFUB_000490,Afu6g14260,99.92,1188,scf_000001_A_fumigatus_A1163,138691,140066,-
AFUB_000500,Afu6g14250,100.00,1944,scf_000001_A_fumigatus_A1163,140217,143059,+
AFUB_000510,Afu6g14240,99.83,573,scf_000001_A_fumigatus_A1163,143290,145137,+
AFUB_000520,Afu6g14230,99.44,1436,scf_000001_A_fumigatus_A1163,145538,147284,+
AFUB_000530,Afu6g14220,100.00,2760,scf_000001_A_fumigatus_A1163,147908,150843,-
AFUB_000540,Afu6g14210,100.00,456,scf_000001_A_fumigatus_A1163,151836,152585,-
AFUB_000550,Afu6g14200,99.92,1302,scf_000001_A_fumigatus_A1163,153053,154811,+
AFUB_000560,Afu6g14190,99.86,2169,scf_000001_A_fumigatus_A1163,155045,157464,+
AFUB_000570,Afu6g14180,100.00,1386,scf_000001_A_fumigatus_A1163,157548,159244,-
AFUB_000580,Afu6g14170,99.89,2634,scf_000001_A_fumigatus_A1163,159700,162490,+
AFUB_000590,Afu6g14160,100.00,1230,scf_000001_A_fumigatus_A1163,163292,164521,+
AFUB_000600,Afu6g14150,100.00,1170,scf_000001_A_fumigatus_A1163,164735,165991,-
AFUB_000610,Afu6g14140,100.00,951,scf_000001_A_fumigatus_A1163,166106,168003,+
AFUB_000620,Afu6g14130,100.00,507,scf_000001_A_fumigatus_A1163,168515,169184,-
AFUB_000630,Afu6g14120,99.91,1122,scf_000001_A_fumigatus_A1163,169983,171170,-
AFUB_000640,Afu6g14110,100.00,327,scf_000001_A_fumigatus_A1163,171320,171888,-
AFUB_000650,Afu6g14100,100.00,981,scf_000001_A_fumigatus_A1163,172092,173297,-
AFUB_000660,Afu6g14090,88.18,660,scf_000001_A_fumigatus_A1163,174579,175587,-
AFUB_000670,Afu6g14070,100.00,723,scf_000001_A_fumigatus_A1163,179073,179984,+
AFUB_000690,Afu6g14060,100.00,963,scf_000001_A_fumigatus_A1163,181014,182526,-
AFUB_000700,Afu6g14050,99.90,997,scf_000001_A_fumigatus_A1163,184005,186192,+
AFUB_000710,Afu6g14040,99.75,1188,scf_000001_A_fumigatus_A1163,187001,188188,-
AFUB_000720,Afu6g14030,99.93,1527,scf_000001_A_fumigatus_A1163,189127,190795,+
AFUB_000730,Afu6g14020,99.93,1449,scf_000001_A_fumigatus_A1163,190824,193301,+
AFUB_000740,Afu6g14010,99.83,582,scf_000001_A_fumigatus_A1163,193822,194902,-
AFUB_000750,Afu6g14000,99.84,1290,scf_000001_A_fumigatus_A1163,196077,198545,-
AFUB_000760,Afu6g13990,99.87,1533,scf_000001_A_fumigatus_A1163,198684,200216,+
AFUB_000770,Afu6g13980,99.90,963,scf_000001_A_fumigatus_A1163,200512,201589,-
AFUB_000780,Afu6g13970,99.93,1398,scf_000001_A_fumigatus_A1163,201944,203586,-
AFUB_000790,Afu6g13950,100.00,726,scf_000001_A_fumigatus_A1163,203952,204739,-
AFUB_000800,Afu6g13945,100.00,1509,scf_000001_A_fumigatus_A1163,205042,207123,-
AFUB_000810,Afu6g13940,99.88,1611,scf_000001_A_fumigatus_A1163,207570,209810,-
AFUB_000820,Afu6g13930,99.97,7338,scf_000001_A_fumigatus_A1163,210196,217626,+
AFUB_000830,Afu6g13920,99.94,1746,scf_000001_A_fumigatus_A1163,217766,219908,+
AFUB_000840,Afu6g13900,97.97,935,scf_000001_A_fumigatus_A1163,221317,223138,-
AFUB_000850,Afu6g13890,100.00,987,scf_000001_A_fumigatus_A1163,223477,224463,+
AFUB_000860,Afu6g13880,100.00,1638,scf_000001_A_fumigatus_A1163,224633,226581,-
AFUB_000870,Afu6g13860,100.00,303,scf_000001_A_fumigatus_A1163,227603,228165,-
AFUB_000880,Afu6g13850,99.89,2706,scf_000001_A_fumigatus_A1163,229946,233071,+
AFUB_000890,Afu6g13840,100.00,375,scf_000001_A_fumigatus_A1163,233235,233755,-
AFUB_000900,Afu6g13830,99.87,792,scf_000001_A_fumigatus_A1163,233988,235644,+
AFUB_000920,Afu6g13810,99.91,1083,scf_000001_A_fumigatus_A1163,237652,238837,-
AFUB_000930,Afu6g13800,99.91,1143,scf_000001_A_fumigatus_A1163,239789,241182,-
AFUB_000940,Afu6g13790,99.94,1686,scf_000001_A_fumigatus_A1163,242088,244236,+
AFUB_000950,Afu6g13780,100.00,1677,scf_000001_A_fumigatus_A1163,245078,246960,+
AFUB_000960,Afu6g13770,100.00,2139,scf_000001_A_fumigatus_A1163,247785,250137,-
AFUB_000970,Afu6g13765,100.00,903,scf_000001_A_fumigatus_A1163,250552,251515,+
AFUB_000980,Afu6g13760,99.83,2379,scf_000001_A_fumigatus_A1163,252516,254960,+
AFUB_000990,Afu6g13750,99.85,1959,scf_000001_A_fumigatus_A1163,255084,257042,-
AFUB_001000,Afu6g13740,100.00,909,scf_000001_A_fumigatus_A1163,257484,258438,-
AFUB_001010,Afu6g13730,100.00,168,scf_000001_A_fumigatus_A1163,260465,260632,-
AFUB_001020,Afu6g13720,99.98,4137,scf_000001_A_fumigatus_A1163,262383,266843,-
AFUB_001030,Afu6g13710,99.87,1599,scf_000001_A_fumigatus_A1163,267538,269914,+
AFUB_001040,Afu6g13700,100.00,849,scf_000001_A_fumigatus_A1163,270048,271038,-
AFUB_001050,Afu6g13690,100.00,4983,scf_000001_A_fumigatus_A1163,272389,277511,+
AFUB_001060,Afu6g13680,98.89,1443,scf_000001_A_fumigatus_A1163,278061,282255,-
AFUB_001070,Afu6g13670,100.00,1017,scf_000001_A_fumigatus_A1163,282896,285432,-
