GENE,CDSLEN,CHROM,START,STOP,STRAND,HOMOLOG,PERCENTID,ALNLEN
AFUB_000010,2439,scf_000001_A_fumigatus_A1163,7437,9931,-,Afu4g00540,61.83,2004
AFUB_000020,1131,scf_000001_A_fumigatus_A1163,10883,12441,-,NONE,0,0
AFUB_000030,447,scf_000001_A_fumigatus_A1163,13108,13727,+,NONE,0,0
AFUB_000040,1221,scf_000001_A_fumigatus_A1163,14109,15687,-,NONE,0,0
AFUB_000050,861,scf_000001_A_fumigatus_A1163,16046,17088,-,Afu6g11800,58.27,774
AFUB_000060,870,scf_000001_A_fumigatus_A1163,17859,18861,+,Afu6g09550,57.09,776
AFUB_000070,996,scf_000001_A_fumigatus_A1163,19317,20456,+,NONE,0,0
AFUB_000080,390,scf_000001_A_fumigatus_A1163,20545,21003,-,Afu5g03780,57.62,328
AFUB_000090,1041,scf_000001_A_fumigatus_A1163,22791,24287,+,Afu3g00740,73.53,763
AFUB_000100,1083,scf_000001_A_fumigatus_A1163,24630,25907,+,Afu1g04150,67.71,1050
AFUB_000110,2235,scf_000001_A_fumigatus_A1163,26950,29765,+,Afu6g08790,56.84,1652
AFUB_000120,1590,scf_000001_A_fumigatus_A1163,30233,31981,-,Afu4g08170,66.05,1449
AFUB_000130,1044,scf_000001_A_fumigatus_A1163,32190,33233,-,Afu4g07010,52.76,887
AFUB_000140,714,scf_000001_A_fumigatus_A1163,33460,34173,-,Afu6g14460,69.76,711
AFUB_000150,1404,scf_000001_A_fumigatus_A1163,34544,36121,+,Afu5g06680,65.03,1347
AFUB_000160,2694,scf_000001_A_fumigatus_A1163,42448,45187,-,Afu6g14610,99.93,2694
AFUB_000170,1512,scf_000001_A_fumigatus_A1163,45394,46905,+,Afu6g14600,99.67,1512
AFUB_000180,1629,scf_000001_A_fumigatus_A1163,47670,49445,+,Afu6g14590,99.94,1629
AFUB_000190,621,scf_000001_A_fumigatus_A1163,50200,50939,-,Afu6g14580,99.84,621
AFUB_000200,1866,scf_000001_A_fumigatus_A1163,51515,53380,+,Afu6g14570,99.89,1866
AFUB_000210,1602,scf_000001_A_fumigatus_A1163,54576,56285,-,Afu6g14560,99.75,1602
AFUB_000220,1542,scf_000001_A_fumigatus_A1163,56942,58536,-,Afu6g14550,99.87,1542
AFUB_000230,858,scf_000001_A_fumigatus_A1163,65075,66042,+,Afu6g14540,100.00,858
AFUB_000240,843,scf_000001_A_fumigatus_A1163,68181,69384,+,Afu6g14530,100.00,843
AFUB_000250,738,scf_000001_A_fumigatus_A1163,69721,71182,-,Afu6g14520,99.73,738
AFUB_000260,1386,scf_000001_A_fumigatus_A1163,76690,78497,+,Afu6g14510,99.42,1386
AFUB_000270,1668,scf_000001_A_fumigatus_A1163,79615,81514,-,Afu6g14500,98.29,995
AFUB_000280,2490,scf_000001_A_fumigatus_A1163,82059,84883,-,Afu6g14490,99.92,2490
AFUB_000290,1911,scf_000001_A_fumigatus_A1163,86203,89082,+,Afu6g14480,99.74,1911
AFUB_000300,705,scf_000001_A_fumigatus_A1163,89693,90577,+,Afu6g14470,100.00,705
AFUB_000310,714,scf_000001_A_fumigatus_A1163,91337,92050,+,Afu6g14460,100.00,714
AFUB_000320,1398,scf_000001_A_fumigatus_A1163,92365,93917,+,Afu6g14450,97.36,758
AFUB_000330,1764,scf_000001_A_fumigatus_A1163,94806,96978,-,Afu6g14442,99.94,1764
AFUB_000340,1824,scf_000001_A_fumigatus_A1163,100970,102900,+,Afu6g14420,99.67,1824
AFUB_000350,1749,scf_000001_A_fumigatus_A1163,103117,104981,-,Afu6g14410,99.66,1749
AFUB_000360,1263,scf_000001_A_fumigatus_A1163,107218,108628,+,Afu6g14400,99.60,1263
AFUB_000370,1155,scf_000001_A_fumigatus_A1163,108876,110091,+,Afu6g14390,98.81,927
AFUB_000380,642,scf_000001_A_fumigatus_A1163,111021,111796,+,Afu6g14370,99.07,642
AFUB_000390,1386,scf_000001_A_fumigatus_A1163,111906,113390,-,Afu6g14360,100.00,1386
AFUB_000400,1935,scf_000001_A_fumigatus_A1163,114360,117083,+,Afu6g14350,100.00,1935
AFUB_000410,1431,scf_000001_A_fumigatus_A1163,117355,119201,+,Afu6g14340,99.93,1431
AFUB_000420,3846,scf_000001_A_fumigatus_A1163,119755,123647,+,Afu6g14330,99.97,3846
AFUB_000430,1920,scf_000001_A_fumigatus_A1163,124598,127210,+,Afu6g14320,99.90,1920
AFUB_000440,2010,scf_000001_A_fumigatus_A1163,127400,129660,+,Afu6g14310,100.00,2010
AFUB_000450,1527,scf_000001_A_fumigatus_A1163,129896,131422,-,Afu6g14300,99.93,1527
AFUB_000460,1896,scf_000001_A_fumigatus_A1163,131773,134128,-,Afu6g14290,100.00,1896
AFUB_000470,1554,scf_000001_A_fumigatus_A1163,135543,137537,+,Afu6g14280,100.00,1554
AFUB_000480,645,scf_000001_A_fumigatus_A1163,137675,138463,-,Afu6g14270,100.00,378
AFUB_000490,1188,scf_000001_A_fumigatus_A1163,138691,140066,-,Afu6g14260,99.92,1188
AFUB_000500,1944,scf_000001_A_fumigatus_A1163,140217,143059,+,Afu6g14250,100.00,1944
AFUB_000510,573,scf_000001_A_fumigatus_A1163,143290,145137,+,Afu6g14240,99.83,573
AFUB_000520,1473,scf_000001_A_fumigatus_A1163,145538,147284,+,Afu6g14230,99.44,1436
AFUB_000530,2790,scf_000001_A_fumigatus_A1163,147908,150843,-,Afu6g14220,100.00,2760
AFUB_000540,456,scf_000001_A_fumigatus_A1163,151836,152585,-,Afu6g14210,100.00,456
AFUB_000550,1302,scf_000001_A_fumigatus_A1163,153053,154811,+,Afu6g14200,99.92,1302
AFUB_000560,2169,scf_000001_A_fumigatus_A1163,155045,157464,+,Afu6g14190,99.86,2169
AFUB_000570,1386,scf_000001_A_fumigatus_A1163,157548,159244,-,Afu6g14180,100.00,1386
AFUB_000580,2634,scf_000001_A_fumigatus_A1163,159700,162490,+,Afu6g14170,99.89,2634
AFUB_000590,1230,scf_000001_A_fumigatus_A1163,163292,164521,+,Afu6g14160,100.00,1230
AFUB_000600,1170,scf_000001_A_fumigatus_A1163,164735,165991,-,Afu6g14150,100.00,1170
AFUB_000610,951,scf_000001_A_fumigatus_A1163,166106,168003,+,Afu6g14140,100.00,951
AFUB_000620,507,scf_000001_A_fumigatus_A1163,168515,169184,-,Afu6g14130,100.00,507
AFUB_000630,1122,scf_000001_A_fumigatus_A1163,169983,171170,-,Afu6g14120,99.91,1122
AFUB_000640,327,scf_000001_A_fumigatus_A1163,171320,171888,-,Afu6g14110,100.00,327
AFUB_000650,981,scf_000001_A_fumigatus_A1163,172092,173297,-,Afu6g14100,100.00,981
AFUB_000660,882,scf_000001_A_fumigatus_A1163,174579,175587,-,Afu6g14090,88.18,660
AFUB_000670,723,scf_000001_A_fumigatus_A1163,179073,179984,+,Afu6g14070,100.00,723
AFUB_000690,963,scf_000001_A_fumigatus_A1163,181014,182526,-,Afu6g14060,100.00,963
AFUB_000700,1539,scf_000001_A_fumigatus_A1163,184005,186192,+,Afu6g14050,99.90,997
AFUB_000710,1188,scf_000001_A_fumigatus_A1163,187001,188188,-,Afu6g14040,99.75,1188
AFUB_000720,1527,scf_000001_A_fumigatus_A1163,189127,190795,+,Afu6g14030,99.93,1527
AFUB_000730,1449,scf_000001_A_fumigatus_A1163,190824,193301,+,Afu6g14020,99.93,1449
AFUB_000740,582,scf_000001_A_fumigatus_A1163,193822,194902,-,Afu6g14010,99.83,582
