QNAME,LENGTH,CHROM,START,STOP,STRAND
AFUB_000020,1131,scf_000001_A_fumigatus_A1163,10883,12441,-
AFUB_000030,447,scf_000001_A_fumigatus_A1163,13108,13727,+
AFUB_000040,1221,scf_000001_A_fumigatus_A1163,14109,15687,-
AFUB_000070,996,scf_000001_A_fumigatus_A1163,19317,20456,+
AFUB_000910,1017,scf_000001_A_fumigatus_A1163,236426,237507,+
AFUB_001910,219,scf_000001_A_fumigatus_A1163,538165,538658,+
AFUB_003470,504,scf_000001_A_fumigatus_A1163,956596,957197,-
AFUB_003750,669,scf_000001_A_fumigatus_A1163,1038840,1039508,+
AFUB_004300,165,scf_000001_A_fumigatus_A1163,1199187,1199351,+
AFUB_008090,963,scf_000001_A_fumigatus_A1163,2284872,2286189,+
AFUB_008140,549,scf_000001_A_fumigatus_A1163,2335758,2336608,+
AFUB_008270,435,scf_000001_A_fumigatus_A1163,2365223,2366038,+
AFUB_011190,207,scf_000001_A_fumigatus_A1163,3158600,3159439,+
AFUB_011890,672,scf_000001_A_fumigatus_A1163,3345420,3346144,-
AFUB_014440,231,scf_000001_A_fumigatus_A1163,4062509,4063751,+
AFUB_014500,243,scf_000001_A_fumigatus_A1163,4078512,4078868,-
AFUB_016910,915,scf_000001_A_fumigatus_A1163,4813735,4814649,-
AFUB_022050,342,scf_000002_A_fumigatus_A1163,1370896,1371925,+
AFUB_023040,231,scf_000002_A_fumigatus_A1163,1672414,1672644,-
AFUB_024000,219,scf_000002_A_fumigatus_A1163,2033733,2034165,+
AFUB_024870,603,scf_000002_A_fumigatus_A1163,2284559,2285292,+
AFUB_024910,219,scf_000002_A_fumigatus_A1163,2295239,2295518,+
AFUB_032970,180,scf_000002_A_fumigatus_A1163,4581949,4582128,+
AFUB_033000,1191,scf_000002_A_fumigatus_A1163,4586464,4587767,-
AFUB_033010,456,scf_000002_A_fumigatus_A1163,4595299,4595884,+
AFUB_033020,195,scf_000002_A_fumigatus_A1163,4596253,4596447,+
AFUB_033260,177,scf_000002_A_fumigatus_A1163,4642471,4642687,-
AFUB_033280,267,scf_000002_A_fumigatus_A1163,4643872,4644138,+
AFUB_034160,579,scf_000003_A_fumigatus_A1163,93182,93810,+
AFUB_034290,567,scf_000003_A_fumigatus_A1163,114926,115696,+
AFUB_036550,423,scf_000003_A_fumigatus_A1163,723529,724039,-
AFUB_036880,219,scf_000003_A_fumigatus_A1163,830213,830609,-
AFUB_037180,546,scf_000003_A_fumigatus_A1163,910848,912219,+
AFUB_037390,651,scf_000003_A_fumigatus_A1163,965112,965762,-
AFUB_038140,492,scf_000003_A_fumigatus_A1163,1206118,1206687,+
AFUB_039690,372,scf_000003_A_fumigatus_A1163,1656027,1656455,-
AFUB_039940,369,scf_000003_A_fumigatus_A1163,1715604,1715972,-
AFUB_040530,309,scf_000003_A_fumigatus_A1163,1854321,1854689,+
AFUB_041330,315,scf_000003_A_fumigatus_A1163,2088600,2088914,+
AFUB_041530,765,scf_000003_A_fumigatus_A1163,2143531,2144625,-
AFUB_042900,1107,scf_000003_A_fumigatus_A1163,2522745,2523902,+
AFUB_043710,1476,scf_000003_A_fumigatus_A1163,2827560,2829493,+
AFUB_044190,2379,scf_000003_A_fumigatus_A1163,2948018,2950519,-
AFUB_044200,3018,scf_000003_A_fumigatus_A1163,2956970,2960401,+
AFUB_044210,1272,scf_000003_A_fumigatus_A1163,2961396,2962807,+
AFUB_044220,633,scf_000003_A_fumigatus_A1163,2963380,2964117,+
AFUB_044230,1527,scf_000003_A_fumigatus_A1163,2964655,2966440,+
AFUB_044240,1137,scf_000003_A_fumigatus_A1163,2966769,2968006,+
AFUB_044250,282,scf_000003_A_fumigatus_A1163,2970291,2970689,-
AFUB_044260,573,scf_000003_A_fumigatus_A1163,2971838,2972508,+
AFUB_044310,1806,scf_000003_A_fumigatus_A1163,2989361,2991271,-
AFUB_044330,453,scf_000003_A_fumigatus_A1163,2996316,2996941,-
AFUB_044380,849,scf_000003_A_fumigatus_A1163,3014192,3015159,+
AFUB_044390,1272,scf_000003_A_fumigatus_A1163,3015628,3016980,-
AFUB_044400,987,scf_000003_A_fumigatus_A1163,3017264,3018368,+
AFUB_044410,471,scf_000003_A_fumigatus_A1163,3019446,3019990,+
AFUB_044420,870,scf_000003_A_fumigatus_A1163,3020901,3021968,+
AFUB_044460,357,scf_000003_A_fumigatus_A1163,3043699,3044112,+
AFUB_044510,435,scf_000003_A_fumigatus_A1163,3105183,3105750,+
AFUB_044570,429,scf_000003_A_fumigatus_A1163,3120433,3120861,-
AFUB_044670,954,scf_000003_A_fumigatus_A1163,3161060,3162126,+
AFUB_044740,396,scf_000003_A_fumigatus_A1163,3177517,3177936,+
AFUB_045190,300,scf_000003_A_fumigatus_A1163,3295409,3295802,+
AFUB_045230,318,scf_000003_A_fumigatus_A1163,3303956,3304398,+
AFUB_045460,954,scf_000003_A_fumigatus_A1163,3370242,3371465,+
AFUB_045490,522,scf_000003_A_fumigatus_A1163,3378327,3378947,+
AFUB_045620,1362,scf_000003_A_fumigatus_A1163,3420419,3421956,+
AFUB_045650,939,scf_000003_A_fumigatus_A1163,3436538,3438406,+
AFUB_045660,606,scf_000003_A_fumigatus_A1163,3440018,3440733,+
AFUB_045670,2967,scf_000003_A_fumigatus_A1163,3443011,3446248,-
AFUB_045680,732,scf_000003_A_fumigatus_A1163,3450539,3451752,-
AFUB_045700,957,scf_000003_A_fumigatus_A1163,3455704,3456660,-
AFUB_045710,867,scf_000003_A_fumigatus_A1163,3456901,3457824,-
AFUB_045720,540,scf_000003_A_fumigatus_A1163,3458241,3458880,-
AFUB_045730,1257,scf_000003_A_fumigatus_A1163,3459111,3460542,+
AFUB_045740,1044,scf_000003_A_fumigatus_A1163,3461739,3462782,-
AFUB_045750,807,scf_000003_A_fumigatus_A1163,3463275,3464163,-
AFUB_045770,1398,scf_000003_A_fumigatus_A1163,3466124,3467546,-
AFUB_045870,411,scf_000003_A_fumigatus_A1163,3516860,3517290,-
AFUB_045910,249,scf_000003_A_fumigatus_A1163,3521765,3522359,-
AFUB_045920,1005,scf_000003_A_fumigatus_A1163,3525360,3526364,+
AFUB_046280,588,scf_000003_A_fumigatus_A1163,3596617,3597343,+
AFUB_046790,918,scf_000003_A_fumigatus_A1163,3711796,3712713,+
AFUB_048150,564,scf_000003_A_fumigatus_A1163,4065596,4066218,-
AFUB_048280,339,scf_000003_A_fumigatus_A1163,4099118,4099894,-
AFUB_048380,2181,scf_000003_A_fumigatus_A1163,4129806,4132282,+
AFUB_048400,2619,scf_000003_A_fumigatus_A1163,4140403,4143283,+
AFUB_048410,516,scf_000003_A_fumigatus_A1163,4151197,4151758,+
AFUB_048420,312,scf_000003_A_fumigatus_A1163,4153462,4153894,+
AFUB_048430,513,scf_000003_A_fumigatus_A1163,4159309,4159921,+
AFUB_048440,1167,scf_000003_A_fumigatus_A1163,4168606,4169973,+
AFUB_048450,969,scf_000003_A_fumigatus_A1163,4172785,4173852,+
AFUB_048460,348,scf_000003_A_fumigatus_A1163,4176607,4177052,+
AFUB_048470,1116,scf_000003_A_fumigatus_A1163,4178806,4180291,+
AFUB_048520,1656,scf_000003_A_fumigatus_A1163,4207341,4209617,+
AFUB_048530,531,scf_000003_A_fumigatus_A1163,4211901,4212515,+
AFUB_048540,750,scf_000003_A_fumigatus_A1163,4213388,4214199,+
AFUB_048550,483,scf_000003_A_fumigatus_A1163,4214392,4214951,+
AFUB_048580,624,scf_000003_A_fumigatus_A1163,4228967,4230138,+
AFUB_048590,804,scf_000003_A_fumigatus_A1163,4232806,4233656,+
AFUB_048600,453,scf_000003_A_fumigatus_A1163,4238508,4239251,-
AFUB_048940,1560,scf_000004_A_fumigatus_A1163,63591,65482,-
AFUB_049460,495,scf_000004_A_fumigatus_A1163,185565,186204,+
AFUB_049520,534,scf_000004_A_fumigatus_A1163,198952,199553,+
AFUB_049830,525,scf_000004_A_fumigatus_A1163,260940,261491,+
